Date,Preci (mm),ET (mm),MaxT (deg c),MinT (deg c),WindSpe (m/s),SoilMois (mm),Temp (deg c)
1/1/2000,83.7924,79.9407,25.1982,15.2806,4.1394,3.7546,22.33
2/1/2000,85.8081,81.8238,26.9991,17.518,3.6909,3.4635,23.24
3/1/2000,122.9939,99.5055,24.3628,16.5199,3.5378,20.8266,21.38
4/1/2000,41.763,46.5436,22.7221,12.4095,3.3621,13.9304,20.07
5/1/2000,9.8991,12.504,20.8896,8.7033,2.9847,10.7951,17.19
6/1/2000,8.2375,9.7062,21.9264,6.5154,3.3857,8.9167,17.31
7/1/2000,15.3096,15.8212,20.9218,5.9817,4.416,7.6384,16.51
8/1/2000,13.1113,13.4061,22.5438,8.3064,3.9388,6.7005,17.01
9/1/2000,40.8279,39.5021,21.3147,8.2237,4.1385,5.9732,17.01
10/1/2000,56.6962,54.4303,22.8194,11.6013,4.5401,5.3934,18.36
11/1/2000,110.2947,105.1991,23.5453,13.2294,3.8453,4.9695,19.76
12/1/2000,16.4395,16.0621,25.7908,14.7191,3.8707,4.5636,20.42
1/1/2001,61.1622,58.44,25.8845,15.5527,4.0749,4.2217,20.82
2/1/2001,18.1161,17.4844,27.1165,15.973,4.1186,3.9332,22.34
3/1/2001,44.6936,42.8234,26.3552,15.1817,3.2217,3.6829,21.55
4/1/2001,43.3029,41.3717,22.3478,12.9439,3.2671,3.4635,19.55
5/1/2001,5.9688,5.8783,23.6493,9.5404,3.9345,3.2666,19.23
6/1/2001,5.5364,5.4174,21.8095,7.3741,3.5266,3.084,17.03
7/1/2001,20.9814,20.1097,20.5022,6.006,4.1174,2.9325,15.65
8/1/2001,109.985,87.4609,21.1469,7.4194,4.6304,19.3618,16.32
9/1/2001,56.8555,59.5184,20.7997,9.2843,3.9231,13.9023,17.12
10/1/2001,27.7324,30.9422,23.3012,12.9329,4.0149,9.2248,18.63
11/1/2001,102.7325,98.5451,23.2112,14.2148,4.3731,8.2654,19.19
12/1/2001,48.2529,47.3728,25.5244,15.1087,3.8908,6.7254,20.68
1/1/2002,28.4801,28.0466,26.1837,15.3878,4.0067,5.7726,21.79
2/1/2002,11.35,11.4451,27.3459,15.8284,3.5525,5.0925,21.63
3/1/2002,20.7817,20.3039,27.3436,15.0264,3.4708,4.5809,21.94
4/1/2002,26.7714,25.8123,25.5162,12.9955,3.3892,4.1734,20.29
5/1/2002,62.7757,59.755,22.2345,8.806,3.6669,4.054,17.57
6/1/2002,29.9469,28.7959,20.1722,6.3121,4.3246,3.7103,15.73
7/1/2002,66.9361,60.5461,19.5546,5.8005,4.3108,6.761,15.83
8/1/2002,69.9003,65.7019,20.6226,8.3638,4.4963,7.2735,16.52
9/1/2002,53.1894,52.1732,21.6162,10.1311,3.5677,5.6458,16.94
